pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ETH/USDT,donchian,2021-11-03 00:00,4598.86,2021-11-06 11:59,4374.05,trailing,0.0857,0.7694382780,-20.0356552780,-0.050836,84.00,tb-donchian-ETHUSDT-1635883200-B,tb-donchian-ETHUSDT-1636185600-T
SOL/USDT,donchian,2021-11-03 00:00,221.26,2021-11-09 15:59,237.30,trailing,1.160,0.5323721200,18.0740278800,0.070420,160.00,tb-donchian-SOLUSDT-1635883200-B,tb-donchian-SOLUSDT-1636459200-T
BTC/USDT,donchian,2021-11-08 04:00,65330.40,2021-11-10 23:59,65200.69,trailing,0.00835,1.0905879040,-2.1736664040,-0.003985,68.00,tb-donchian-BTCUSDT-1636329600-B,tb-donchian-BTCUSDT-1636574400-T
