ts,datetime_utc,equity,B&H BTC (OOS)
1627790399999,2021-08-01 03:59,10000,10219.3922905622000000
1627804799999,2021-08-01 07:59,9916.3250840140000000,10042.6624950644000000
1627819199999,2021-08-01 11:59,9889.5674239585000000,10015.1489311694000000
1627833599999,2021-08-01 15:59,9879.6352785460000000,9942.8960246012000000
1627847999999,2021-08-01 19:59,9884.4712272565000000,9937.2054730490000000
1627862399999,2021-08-01 23:59,9724.1468156550000000,9595.7458898336000000
1627876799999,2021-08-02 03:59,9746.6583023940000000,9581.3328762746000000
1627891199999,2021-08-02 07:59,9841.6109556930000000,9658.1204034830000000
1627905599999,2021-08-02 11:59,9785.9233580340000000,9522.7729346348000000
1627919999999,2021-08-02 15:59,9809.6745171000000000,9561.9541761728000000
1627934399999,2021-08-02 19:59,9801.9962950080000000,9434.9775736790000000
1627948799999,2021-08-02 23:59,9789.8340174600000000,9427.7457809108000000
1627963199999,2021-08-03 03:59,9699.4214482300000000,9309.2435969156000000
1627977599999,2021-08-03 07:59,9638.1621188800000000,9294.2405769536000000
1627991999999,2021-08-03 11:59,9603.2805853300000000,9269.3326739894000000
1628006399999,2021-08-03 15:59,9647.9323388800000000,9192.1333463936000000
1628020799999,2021-08-03 19:59,9645.3058380100000000,9154.0670965478000000
1628035199999,2021-08-03 23:59,9696.2896132000000000,9201.1905467270000000
1628049599999,2021-08-04 03:59,9652.8951211300000000,9145.7443939814000000
1628063999999,2021-08-04 07:59,9618.7059245500000000,9110.1104154296000000
1628078399999,2021-08-04 11:59,9642.6575989000000000,9189.8744647364000000
1628092799999,2021-08-04 15:59,9869.0714284300000000,9464.8752450800000000
1628107199999,2021-08-04 19:59,9858.5509894000000000,9573.2847072998000000
1628121599999,2021-08-04 23:59,9888.0786222100000000,9566.3033662292000000
1628135999999,2021-08-05 03:59,9858.5511392500000000,9496.9258378046000000
1628150399999,2021-08-05 07:59,9810.0526263100000000,9360.9835461746000000
1628164799999,2021-08-05 11:59,9732.8868793000000000,9153.3470479172000000
1628179199999,2021-08-05 15:59,9851.8592878000000000,9331.9455983894000000
1628193599999,2021-08-05 19:59,9912.5717345800000000,9799.6713682256000000
1628207999999,2021-08-05 23:59,9952.4318345800000000,9840.6635681924000000
1628222399999,2021-08-06 03:59,9861.0855922600000000,9685.8193979618000000
1628236799999,2021-08-06 07:59,9881.8402768000000000,9808.6659556346000000
1628251199999,2021-08-06 11:59,9842.5813750000000000,9755.1969263864000000
1628265599999,2021-08-06 15:59,9954.6906934600000000,10162.7637168212000000
1628279999999,2021-08-06 19:59,10059.3562731100000000,10331.6235493598000000
1628294399999,2021-08-06 23:59,10017.0345671800000000,10316.1388915178000000
1628308799999,2021-08-07 03:59,10101.1377697900000000,10522.0366770284000000
1628323199999,2021-08-07 07:59,10101.2688585700000000,10405.4875346366000000
1628337599999,2021-08-07 11:59,10297.7302205500000000,10548.0860617682000000
1628351999999,2021-08-07 15:59,10290.9424850800000000,10444.5820813562000000
1628366399999,2021-08-07 19:59,10277.2092920200000000,10579.7248541054000000
1628380799999,2021-08-07 23:59,10378.1481721000000000,10734.1211011076000000
1628395199999,2021-08-08 03:59,10335.4909819900000000,10673.8874678348000000
1628409599999,2021-08-08 07:59,10368.5996202100000000,10789.9838706194000000
1628423999999,2021-08-08 11:59,10282.3440521200000000,10705.1072352164000000
1628438399999,2021-08-08 15:59,10186.3666456000000000,10592.5219725770000000
1628452799999,2021-08-08 19:59,10098.3395608000000000,10527.6333091940000000
1628467199999,2021-08-08 23:59,10117.5218892700000000,10546.7230265678000000
1628481599999,2021-08-09 03:59,10054.9337101000000000,10474.8915531446000000
1628495999999,2021-08-09 07:59,10090.3151959950000000,10548.2570432156000000
1628510399999,2021-08-09 11:59,10343.1401754375000000,11061.0255875894000000
1628524799999,2021-08-09 15:59,10358.4176676525000000,11046.7546572050000000
1628539199999,2021-08-09 19:59,10345.2209625675000000,11073.0280035590000000
1628553599999,2021-08-09 23:59,10365.9385817100000000,11138.9040245960000000
1628567999999,2021-08-10 03:59,10289.1524547000000000,11007.7443971144000000
