ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1627779599999,2021-08-01 00:59,10000,10046.3382144722000000,10000.00000000,10134.7783163013000000
1627783199999,2021-08-01 01:59,10000,10039.0811378132000000,10000.00000000,10079.2775341398000000
1627786799999,2021-08-01 02:59,10000,10063.3989638450000000,10000.00000000,10130.5824851325000000
1627790399999,2021-08-01 03:59,10000,10214.2883905778000000,10000.00000000,10271.2742593257000000
1627793999999,2021-08-01 04:59,10000,10123.4630072774000000,10000.00000000,10200.9984790521000000
1627797599999,2021-08-01 05:59,10000,10066.8072625346000000,10000.00000000,10182.3198465819000000
1627801199999,2021-08-01 06:59,10000,10039.1750104466000000,10000.00000000,10197.3623530179000000
1627804799999,2021-08-01 07:59,10000,10037.6465714156000000,10000.00000000,10133.6166380424000000
1627808399999,2021-08-01 08:59,10000,10049.4047204966000000,10000.00000000,10152.1229507049000000
1627811999999,2021-08-01 09:59,10000,10087.5795914126000000,10000.00000000,10204.5040022199000000
1627815599999,2021-08-01 10:59,10000,9987.7857611366000000,10000.00000000,10059.8593346769000000
1627819199999,2021-08-01 11:59,10000,10010.1467038106000000,10000.00000000,10077.6941180409000000
1627822799999,2021-08-01 12:59,10000,10002.1266111314000000,10000.00000000,10069.7473605531000000
1627826399999,2021-08-01 13:59,10000,9967.8005181848000000,10000.00000000,10018.0928956242000000
1627829999999,2021-08-01 14:59,10000,9948.1305910016000000,10000.00000000,10032.6260866854000000
1627833599999,2021-08-01 15:59,10000,9937.9297648388000000,10000.00000000,10055.4672738342000000
1627837199999,2021-08-01 16:59,10000,9930.5186407814000000,10000.00000000,10024.1716079271000000
1627840799999,2021-08-01 17:59,10000,9889.2531939350000000,10000.00000000,9974.2113198255000000
1627844399999,2021-08-01 18:59,10000,9888.2855837138000000,10000.00000000,10017.4430476227000000
1627847999999,2021-08-01 19:59,10000,9932.2420460510000000,10000.00000000,10108.2885603735000000
1627851599999,2021-08-01 20:59,10000,9931.1107604690000000,10000.00000000,10152.5909895975000000
1627855199999,2021-08-01 21:59,10000,9885.2720314826000000,10000.00000000,10094.1157889319000000
1627858799999,2021-08-01 22:59,10000,9692.8138770878000000,10000.00000000,9901.6240405647000000
1627862399999,2021-08-01 23:59,10000,9590.9524418864000000,10000.00000000,9743.9328746796000000
1627865999999,2021-08-02 00:59,10000,9512.3136519938000000,10000.00000000,9613.9799885487000000
1627869599999,2021-08-02 01:59,10000,9534.6649667054000000,10000.00000000,9664.9533307821000000
1627873199999,2021-08-02 02:59,10000,9576.1831475648000000,10000.00000000,9790.5692650062000000
1627876799999,2021-08-02 03:59,10000,9576.5466031454000000,10000.00000000,9782.4938396151000000
1627880399999,2021-08-02 04:59,10000,9548.4185109938000000,10000.00000000,9761.2525166007000000
1627883999999,2021-08-02 05:59,10000,9561.5871565664000000,10000.00000000,9790.6326741336000000
1627887599999,2021-08-02 06:59,10000,9692.9029357400000000,10000.00000000,10047.3142302390000000
1627891199999,2021-08-02 07:59,10000,9653.2959054170000000,10000.00000000,10001.3883775635000000
1627894799999,2021-08-02 08:59,10000,9514.9781905880000000,10000.00000000,9861.7792019880000000
1627898399999,2021-08-02 09:59,10000,9538.7014899416000000,10000.00000000,9931.2001821174000000
1627901999999,2021-08-02 10:59,10000,9554.6141047982000000,10000.00000000,9919.6068771273000000
1627905599999,2021-08-02 11:59,10000,9518.0158127252000000,10000.00000000,9884.5599726138000000
1627909199999,2021-08-02 12:59,10000,9452.8609841738000000,10000.00000000,9807.0659373207000000
1627912799999,2021-08-02 13:59,10000,9527.4319599524000000,10000.00000000,9885.7284811356000000
1627916399999,2021-08-02 14:59,10000,9537.9384739214000000,10000.00000000,9916.8569699871000000
1627919999999,2021-08-02 15:59,10000,9557.1775497872000000,10000.00000000,9910.8680232288000000
1627923599999,2021-08-02 16:59,10000,9582.8914303670000000,10000.00000000,9932.0400373215000000
1627927199999,2021-08-02 17:59,10000,9554.2554631988000000,10000.00000000,9954.3211262292000000
1627930799999,2021-08-02 18:59,10000,9540.9905380022000000,10000.00000000,9938.4655655613000000
1627934399999,2021-08-02 19:59,10000,9430.2641564210000000,10000.00000000,9833.9043172755000000
1627937999999,2021-08-02 20:59,10000,9351.7938558704000000,10000.00000000,9744.9915968976000000
1627941599999,2021-08-02 21:59,10000,9436.0794457106000000,10000.00000000,9813.3710526939000000
1627945199999,2021-08-02 22:59,10000,9487.4494390958000000,10000.00000000,9888.5486460477000000
1627948799999,2021-08-02 23:59,10000,9423.0359636492000000,10000.00000000,9810.5443203558000000
1627952399999,2021-08-03 00:59,10000,9466.2582938534000000,10000.00000000,9869.4450463701000000
1627955999999,2021-08-03 01:59,10000,9344.7606293372000000,10000.00000000,9695.9204249898000000
1627959599999,2021-08-03 02:59,10000,9362.4303473318000000,10000.00000000,9713.2953357867000000
1627963199999,2021-08-03 03:59,10000,9304.5927702044000000,10000.00000000,9667.7329239066000000
1627966799999,2021-08-03 04:59,10000,9225.7084672706000000,10000.00000000,9556.5354583809000000
1627970399999,2021-08-03 05:59,10000,9208.0989240410000000,10000.00000000,9538.4570832525000000
1627973999999,2021-08-03 06:59,10000,9232.7248448696000000,10000.00000000,9551.2977058764000000
1627977599999,2021-08-03 07:59,10000,9289.5972187664000000,10000.00000000,9626.5723866456000000
1627981199999,2021-08-03 08:59,10000,9272.7458775758000000,10000.00000000,9564.6621337707000000
1627984799999,2021-08-03 09:59,10000,9301.3529608568000000,10000.00000000,9611.1250608342000000
1627988399999,2021-08-03 10:59,10000,9318.4064892578000000,10000.00000000,9638.5563206157000000
1627991999999,2021-08-03 11:59,10000,9264.7017149906000000,10000.00000000,9593.6984292099000000
1627995599999,2021-08-03 12:59,10000,9241.7775365162000000,10000.00000000,9700.9047451803000000
1627999199999,2021-08-03 13:59,10000,9259.7866401854000000,10000.00000000,9757.8077334321000000
1628002799999,2021-08-03 14:59,10000,9207.7956432254000000,10000.00000000,9719.0411678031000000
1628006399999,2021-08-03 15:59,10000,9187.5408173264000000,10000.00000000,9700.8655641006000000
1628009999999,2021-08-03 16:59,10000,9242.6777510006000000,10000.00000000,9781.1009710779000000
1628013599999,2021-08-03 17:59,10000,9148.2996495746000000,10000.00000000,9665.8405888359000000
1628017199999,2021-08-03 18:59,10000,9193.5077470238000000,10000.00000000,9743.1160871847000000
1628020799999,2021-08-03 19:59,10000,9149.4935169122000000,10000.00000000,9718.5497155473000000
1628024399999,2021-08-03 20:59,10000,9165.9019718324000000,10000.00000000,9727.4096004936000000
1628027999999,2021-08-03 21:59,10000,9225.7951189322000000,10000.00000000,9753.2003772003000000
1628031599999,2021-08-03 22:59,10000,9229.6511178734000000,10000.00000000,9792.5698545141000000
1628035199999,2021-08-03 23:59,10000,9196.5935089730000000,10000.00000000,9757.3854407475000000
1628038799999,2021-08-04 00:59,10000,9244.6611112550000000,10000.00000000,9768.8462764395000000
1628042399999,2021-08-04 01:59,10000,9232.4432269694000000,10000.00000000,9778.8661439421000000
1628045999999,2021-08-04 02:59,10000,9169.7820406796000000,10000.00000000,9705.8988679584000000
1628049599999,2021-08-04 03:59,10000,9141.1749573986000000,10000.00000000,9651.0161191449000000
1628053199999,2021-08-04 04:59,10000,9139.6946581796000000,10000.00000000,9665.0989537134000000
1628056799999,2021-08-04 05:59,10000,9147.9915547778000000,10000.00000000,9670.1252590767000000
1628060399999,2021-08-04 06:59,10000,9102.9736095860000000,10000.00000000,9639.3633904380000000
1628063999999,2021-08-04 07:59,10000,9105.5587174904000000,10000.00000000,9606.8382815046000000
1628067599999,2021-08-04 08:59,10000,9083.8428482972000000,10000.00000000,9573.8089417068000000
1628071199999,2021-08-04 09:59,10000,9104.7186777710000000,10000.00000000,9587.6751439245000000
1628074799999,2021-08-04 10:59,10000,9169.1730720578000000,10000.00000000,9665.8464032157000000
1628078399999,2021-08-04 11:59,10000,9185.2830601436000000,10000.00000000,9680.8698720084000000
1628081999999,2021-08-04 12:59,10000,9353.8253559368000000,10000.00000000,9887.5680990762000000
1628085599999,2021-08-04 13:59,10000,9390.5873233706000000,10000.00000000,9924.4182793089000000
1628089199999,2021-08-04 14:59,10000,9416.2314012230000000,10000.00000000,9969.1005157455000000
1628092799999,2021-08-04 15:59,10000,9460.1469447200000000,10000.00000000,10039.2900204810000000
1628096399999,2021-08-04 16:59,10000,9504.3705830138000000,10000.00000000,10142.7038973867000000
1628099999999,2021-08-04 17:59,10000,9481.3790088026000000,10000.00000000,10053.8652397719000000
1628103599999,2021-08-04 18:59,10000,9525.8818580060000000,10000.00000000,10080.5046276180000000
1628107199999,2021-08-04 19:59,10000,9568.5024405602000000,10000.00000000,10097.0457546333000000
1628110799999,2021-08-04 20:59,10000,9569.3641431950000000,10000.00000000,10143.1304316255000000
1628114399999,2021-08-04 21:59,10000,9589.2531065228000000,10000.00000000,10160.1667435602000000
1628117999999,2021-08-04 22:59,10000,9559.8661582874000000,10000.00000000,10102.0086859341000000
1628121599999,2021-08-04 23:59,10000,9561.5245748108000000,10000.00000000,10092.6967351062000000
1628125199999,2021-08-05 00:59,10000,9520.9547482478000000,10000.00000000,10033.8028744197000000
1628128799999,2021-08-05 01:59,10000,9505.7786725148000000,10000.00000000,10030.3413618972000000
1628132399999,2021-08-05 02:59,10000,9478.1464204268000000,10000.00000000,10048.3305007512000000
1628135999999,2021-08-05 03:59,10000,9492.1815826154000000,10000.00000000,10091.3729892771000000
1628139599999,2021-08-05 04:59,10000,9474.9836347784000000,10000.00000000,10045.4087210556000000
