ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1756699199999,2025-09-01 03:59,10000,9930.9242328767000000,10000.00000000
1756713599999,2025-09-01 07:59,10000,10094.4597770333000000,10000.00000000
1756727999999,2025-09-01 11:59,10000,10034.4951453896000000,10000.00000000
1756742399999,2025-09-01 15:59,10000,10034.6288900111000000,10000.00000000
1756756799999,2025-09-01 19:59,10000,10074.5963947988000000,10000.00000000
1756771199999,2025-09-01 23:59,10000,10076.4208559114000000,10000.00000000
1756785599999,2025-09-02 03:59,10000,10176.4765908206000000,10000.00000000
1756799999999,2025-09-02 07:59,10000,10168.3356940664000000,10000.00000000
1756814399999,2025-09-02 11:59,10000,10122.1633612178000000,10000.00000000
1756828799999,2025-09-02 15:59,10000,10223.2401671339000000,10000.00000000
1756843199999,2025-09-02 19:59,10000,10221.1030203200000000,10000.00000000
1756857599999,2025-09-02 23:59,10000,10261.1350914767000000,10000.00000000
1756871999999,2025-09-03 03:59,10000,10243.9788848567000000,10000.00000000
1756886399999,2025-09-03 07:59,10000,10248.2098267796000000,10000.00000000
1756900799999,2025-09-03 11:59,10000,10279.3760130959000000,10000.00000000
1756915199999,2025-09-03 15:59,10000,10351.7798169158000000,10000.00000000
1756929599999,2025-09-03 19:59,10000,10349.1049244858000000,10000.00000000
1756943999999,2025-09-03 23:59,10000,10304.0901743957000000,10000.00000000
1756958399999,2025-09-04 03:59,10000,10252.7377739999000000,10000.00000000
1756972799999,2025-09-04 07:59,10000,10189.4987050712000000,10000.00000000
1756987199999,2025-09-04 11:59,10000,10221.4719710000000000,10000.00000000
1757001599999,2025-09-04 15:59,10000,10101.5915936777000000,10000.00000000
1757015999999,2025-09-04 19:59,10000,10128.3110019233000000,10000.00000000
1757030399999,2025-09-04 23:59,10000,10214.1732041729000000,10000.00000000
1757044799999,2025-09-05 03:59,10000,10267.7540666759000000,10000.00000000
1757059199999,2025-09-05 07:59,10000,10419.2590515344000000,10000.00000000
1757073599999,2025-09-05 11:59,10000,10363.8869334800000000,10000.00000000
