ts,datetime_utc,equity,B&H BTC,Equiponderado
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,9890.2418974524000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,9887.7570958413000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,9882.7907627457000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,9905.0132330307000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,9962.6681440071000000
1564703999999,2019-08-01 23:59,10018.4069523298000000,10276.6660027651000000,10013.1575488623000000
1564718399999,2019-08-02 03:59,10008.8868064054000000,10237.8178675873000000,9934.1714444319000000
1564732799999,2019-08-02 07:59,10056.3855864790000000,10431.6425257105000000,10041.4200788415000000
1564747199999,2019-08-02 11:59,10040.7824508334000000,10367.9719971733000000,9969.9157848114000000
1564761599999,2019-08-02 15:59,10075.9720366228000000,10511.5674626686000000,9961.9831664703000000
1564775999999,2019-08-02 19:59,10035.2577562582000000,10345.4277963409000000,9868.5161646327000000
1564790399999,2019-08-02 23:59,10054.5165114250000000,10424.0155333375000000,9918.8319966345000000
1564804799999,2019-08-03 03:59,10116.3586220104000000,10676.3699290348000000,9994.6701371799000000
1564819199999,2019-08-03 07:59,10128.3158476156000000,10725.1628698522000000,10004.0079053646000000
1564833599999,2019-08-03 11:59,10107.9599211184000000,10642.0979892808000000,9973.6819283979000000
1564847999999,2019-08-03 15:59,10105.3213697110000000,10631.3310532945000000,9955.9913575770000000
1564862399999,2019-08-03 19:59,10133.8551064120000000,10747.7665017940000000,9983.3954825205000000
1564876799999,2019-08-03 23:59,10125.6651593572000000,10714.3464079414000000,9980.5110466437000000
1564891199999,2019-08-04 03:59,10110.6543020404000000,10653.0927445198000000,9879.4144357524000000
1564905599999,2019-08-04 07:59,10090.0168006000000000,10568.8788625000000000,9841.9414761225000000
1564919999999,2019-08-04 11:59,10089.6672592912000000,10567.4525158744000000,9871.4014694397000000
1564934399999,2019-08-04 15:59,10156.5631546330000000,10840.4295065335000000,9945.9351393615000000
1564948799999,2019-08-04 19:59,10150.9777758028000000,10817.6376760786000000,9941.3352760293000000
1564963199999,2019-08-04 23:59,10152.9415182946000000,10825.6509706627000000,9917.5791520251000000
1564977599999,2019-08-05 03:59,10306.7736773494000000,11453.3821585153000000,10159.5731070339000000
1564991999999,2019-08-05 07:59,10333.0451050240000000,11560.5859746880000000,10112.3861411340000000
1565006399999,2019-08-05 11:59,10358.8820334328000000,11666.0167627636000000,10355.8517310348000000
1565020799999,2019-08-05 15:59,10352.1655000894000000,11638.6091161453000000,10260.5067853209000000
1565035199999,2019-08-05 19:59,10352.7650605288000000,11641.0556968156000000,10220.4709832988000000
1565049599999,2019-08-05 23:59,10371.3004593760000000,11716.6916887120000000,10171.8699367950000000
1565063999999,2019-08-06 03:59,10342.4196087364000000,11598.8397987718000000,10108.5529008114000000
1565078399999,2019-08-06 07:59,10457.8216427848000000,12069.7520992876000000,10224.6853082553000000
1565092799999,2019-08-06 11:59,10358.8844608030000000,11666.0266679485000000,10020.7836917775000000
1565107199999,2019-08-06 15:59,10340.0359312000000000,11589.1129072000000000,9972.8593875540000000
1565121599999,2019-08-06 19:59,10342.4633014000000000,11599.0180921000000000,9962.3140294680000000
1565135999999,2019-08-06 23:59,10261.04074986,11372.8728156481000000,9934.1940557898000000
1565150399999,2019-08-07 03:59,10261.04074986,11530.1077207507000000,9970.4089183761000000
1565164799999,2019-08-07 07:59,10261.04074986,11429.2531280989000000,9877.2642671652000000
1565179199999,2019-08-07 11:59,10261.04074986,11632.6362896506000000,9953.5521648033000000
1565193599999,2019-08-07 15:59,10261.04074986,11552.2160934475000000,9890.5500028305000000
1565207999999,2019-08-07 19:59,10261.04074986,11681.0033075173000000,9928.3270710474000000
1565222399999,2019-08-07 23:59,10261.04074986,11861.5352075047000000,9973.6448432121000000
1565236799999,2019-08-08 03:59,10261.04074986,11842.6460199004000000,9966.3943753377000000
1565251199999,2019-08-08 07:59,10261.04074986,11807.0071646302000000,9972.2931922161000000
1565265599999,2019-08-08 11:59,10261.04074986,11714.7601776565000000,9924.6084223185000000
1565279999999,2019-08-08 15:59,10261.04074986,11581.9910792569000000,9890.5250071512000000
1565294399999,2019-08-08 19:59,10261.04074986,11505.7310607118000000,9857.6097057009000000
1565308799999,2019-08-08 23:59,10261.04074986,11886.0406349473000000,9948.3963961329000000
1565323199999,2019-08-09 03:59,10261.04074986,11758.5609052843000000,9878.2415991549000000
1565337599999,2019-08-09 07:59,10261.04074986,11760.8886237358000000,9803.4858092754000000
1565351999999,2019-08-09 11:59,10261.04074986,11594.0754048349000000,9589.0018201632000000
1565366399999,2019-08-09 15:59,10261.04074986,11632.0716941113000000,9592.2850909059000000
1565380799999,2019-08-09 19:59,10261.04074986,11724.9922336582000000,9574.6234430331000000
1565395199999,2019-08-09 23:59,10261.04074986,11767.3963302151000000,9547.1364433473000000
1565409599999,2019-08-10 03:59,10261.04074986,11726.8246928647000000,9608.0353157151000000
1565423999999,2019-08-10 07:59,10261.04074986,11717.6326812775000000,9692.6784404625000000
1565438399999,2019-08-10 11:59,10261.04074986,11287.2325870027000000,9460.3734294111000000
1565452799999,2019-08-10 15:59,10261.04074986,11305.6958516563000000,9548.4384524349000000
1565467199999,2019-08-10 19:59,10261.04074986,11221.7295992590000000,9644.0567728005000000
1565481599999,2019-08-10 23:59,10261.04074986,11202.1272383419000000,9643.0545753012000000
1565495999999,2019-08-11 03:59,10261.04074986,11291.0658935590000000,9766.8384057630000000
1565510399999,2019-08-11 07:59,10261.04074986,11263.9355921179000000,9723.6665975862000000
1565524799999,2019-08-11 11:59,10261.04074986,11361.2342233906000000,9747.9631526103000000
1565539199999,2019-08-11 15:59,10261.04074986,11270.1659534200000000,9753.0449764995000000
1565553599999,2019-08-11 19:59,10261.04074986,11275.2572184586000000,9936.8470141758000000
1565567999999,2019-08-11 23:59,10261.04074986,11440.5054181453000000,9925.3491529464000000
1565582399999,2019-08-12 03:59,10261.04074986,11337.9570388756000000,9867.9194127738000000
1565596799999,2019-08-12 07:59,10261.04074986,11303.8138665253000000,9819.3380821344000000
1565611199999,2019-08-12 11:59,10233.4197033600000000,11220.6499341049000000,9759.2016204927000000
1565625599999,2019-08-12 15:59,10226.8495301100000000,11291.0757987439000000,9803.7261159282000000
1565639999999,2019-08-12 19:59,10198.9706868600000000,11335.4312167261000000,9770.2168526343000000
1565654399999,2019-08-12 23:59,10216.9646748600000000,11288.0745277192000000,9765.5041447596000000
1565668799999,2019-08-13 03:59,10196.8398198600000000,11286.0736803694000000,9699.0027890832000000
1565683199999,2019-08-13 07:59,10176.7149648600000000,11257.2495923104000000,9694.3540554702000000
1565697599999,2019-08-13 11:59,10177.0109186100000000,11173.4814436111000000,9682.3712356848000000
1565711999999,2019-08-13 15:59,10182.1013231100000000,10847.3037048541000000,9532.8698532183000000
1565726399999,2019-08-13 19:59,10245.9089516100000000,10832.5350741682000000,9622.0615749156000000
1565740799999,2019-08-13 23:59,10236.4384316100000000,10789.4772354079000000,9645.1571351367000000
1565755199999,2019-08-14 03:59,10298.2927653600000000,10555.8337339867000000,9665.0327607156000000
1565769599999,2019-08-14 07:59,10290.1244418600000000,10519.3529380000000000,9617.8583819160000000
1565783999999,2019-08-14 11:59,10255.4978531100000000,10456.6531175830000000,9518.9580872100000000
1565798399999,2019-08-14 15:59,10260.5290668600000000,10414.4372195392000000,9497.8899992871000000
1565812799999,2019-08-14 19:59,10159.35783936,10041.6952065673000000,8900.0531392824000000
1565827199999,2019-08-14 23:59,10159.35783936,9955.1238905413000000,8873.7031451529000000
1565841599999,2019-08-15 03:59,10159.35783936,9999.3802566745000000,8937.4439824110000000
1565870399999,2019-08-15 11:59,10159.35783936,10062.2781807895000000,8935.3200524670000000
1565884799999,2019-08-15 15:59,10159.35783936,9998.9246181691000000,8973.7448808753000000
1565899199999,2019-08-15 19:59,10159.35783936,10010.8999867132000000,8947.4676725871000000
1565913599999,2019-08-15 23:59,10159.35783936,10196.3745739657000000,9035.2107726561000000
1565927999999,2019-08-16 03:59,10159.35783936,10226.7636812389000000,8947.1007063207000000
1565942399999,2019-08-16 07:59,10159.35783936,9842.8288093300000000,8742.5134880310000000
1565956799999,2019-08-16 11:59,10159.35783936,10052.7394877308000000,8824.7864837799000000
1565971199999,2019-08-16 15:59,10159.35783936,10287.6112320796000000,8935.9247119023000000
1565985599999,2019-08-16 19:59,10159.35783936,10352.6982020575000000,8964.0524093490000000
1565999999999,2019-08-16 23:59,10159.35783936,10233.6279743746000000,8887.9932763173000000
1566014399999,2019-08-17 03:59,10159.35783936,10187.4004764463000000,8873.3707688619000000
1566028799999,2019-08-17 07:59,10159.35783936,10259.8271884351000000,8925.4277323893000000
1566043199999,2019-08-17 11:59,10159.35783936,10235.3019506227000000,8939.9321781246000000
1566057599999,2019-08-17 15:59,10159.35783936,10214.5406830723000000,8943.8041444824000000
1566071999999,2019-08-17 19:59,10159.35783936,10070.8857864676000000,8875.5086044863000000
1566086399999,2019-08-17 23:59,10159.35783936,10119.2032784098000000,8937.1912779684000000
1566100799999,2019-08-18 03:59,10159.35783936,10018.1406768751000000,8875.2966996033000000
1566115199999,2019-08-18 07:59,10159.35783936,10043.3196568909000000,8931.9574906947000000
1566129599999,2019-08-18 11:59,10159.35783936,10295.4957592600000000,9168.0212583270000000
1566143999999,2019-08-18 15:59,10159.35783936,10287.9876291058000000,9230.7544644249000000
1566158399999,2019-08-18 19:59,10159.35783936,10272.7138339900000000,9273.1598295120000000
1566172799999,2019-08-18 23:59,10159.35783936,10209.1027365622000000,9247.8027209031000000
1566187199999,2019-08-19 03:59,10159.35783936,10299.6856524727000000,9274.2869196936000000
1566201599999,2019-08-19 07:59,10159.35783936,10620.4848758290000000,9430.0803983655000000
1566215999999,2019-08-19 11:59,10159.35783936,10571.6622194569000000,9400.7230683822000000
1566230399999,2019-08-19 15:59,10159.35783936,10606.3204614220000000,9388.7615535705000000
1566244799999,2019-08-19 19:59,10159.35783936,10584.6082961212000000,9321.3599185746000000
1566259199999,2019-08-19 23:59,10159.35783936,10812.0907725346000000,9398.1823075863000000
1566273599999,2019-08-20 03:59,10159.35783936,10686.5920798516000000,9284.3704593603000000
1566287999999,2019-08-20 07:59,10159.35783936,10706.3033978026000000,9316.5704471403000000
1566302399999,2019-08-20 11:59,10159.35783936,10607.3307902818000000,9206.3718429534000000
1566316799999,2019-08-20 15:59,10159.35783936,10642.7121107446000000,9198.6241230288000000
1566331199999,2019-08-20 19:59,10159.35783936,10632.3710977090000000,9165.9675805605000000
1566345599999,2019-08-20 23:59,10159.35783936,10658.5306910299000000,9173.8854925227000000
1566359999999,2019-08-21 03:59,10159.35783936,10225.3472397982000000,8957.4980486706000000
1566374399999,2019-08-21 07:59,10159.35783936,10042.9036391251000000,8843.7438445428000000
1566388799999,2019-08-21 11:59,10159.35783936,10082.5441890949000000,8825.8570013907000000
1566403199999,2019-08-21 15:59,10159.35783936,9892.1269145773000000,8713.0220910489000000
1566417599999,2019-08-21 19:59,10159.35783936,10010.5037793172000000,8810.0609768271000000
1566431999999,2019-08-21 23:59,10159.35783936,10046.4496953193000000,8823.8987803719000000
1566446399999,2019-08-22 03:59,10159.35783936,9778.9205563552000000,8703.1044464211000000
1566460799999,2019-08-22 07:59,10159.35783936,9879.3096053167000000,8745.5954149191000000
1566475199999,2019-08-22 11:59,10159.35783936,9872.0788203397000000,8792.4382162281000000
