pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,supertrend,2019-08-20 00:00,10920.19,2019-08-21 03:59,10285.81,trailing,0.03608,0.7655492828,-23.6539796828,-0.060035,28.00,tb-supertrend-BTCUSDT-1566244800-B,tb-supertrend-BTCUSDT-1566345600-T
ADA/USDT,supertrend,2019-08-24 20:00,0.0504,2019-08-25 23:59,0.0485,trailing,6632.1,0.656252370000,-13.257242370000,-0.039662,28.00,tb-supertrend-ADAUSDT-1566662400-B,tb-supertrend-ADAUSDT-1566763200-T
XRP/USDT,supertrend,2019-09-14 16:00,0.2635,2019-09-15 15:59,0.2540,trailing,2430.1,1.258235500000,-24.344185500000,-0.038018,24.00,tb-supertrend-XRPUSDT-1568462400-B,tb-supertrend-XRPUSDT-1568548800-T
BNB/USDT,supertrend,2019-09-17 20:00,21.23,2019-09-19 03:59,20.97,trailing,22.860,0.9651802900,-6.9087802900,-0.014236,32.00,tb-supertrend-BNBUSDT-1568736000-B,tb-supertrend-BNBUSDT-1568851200-T
BTC/USDT,supertrend,2020-02-11 16:00,10170.09,2020-02-15 15:59,9960.95,trailing,0.05650,1.1380139704,-12.9544239704,-0.022545,96.00,tb-supertrend-BTCUSDT-1581422400-B,tb-supertrend-BTCUSDT-1581768000-T
ETH/USDT,supertrend,2020-02-18 20:00,284.83,2020-02-19 23:59,254.49,trailing,0.7472,0.4032077700,-23.0732557700,-0.108414,28.00,tb-supertrend-ETHUSDT-1582041600-B,tb-supertrend-ETHUSDT-1582142400-T
BTC/USDT,supertrend,2020-02-19 00:00,10169.87,2020-02-19 23:59,9657.22,trailing,0.04507,0.8941154444,-23.9992509444,-0.052359,24.00,tb-supertrend-BTCUSDT-1582056000-B,tb-supertrend-BTCUSDT-1582142400-T
LTC/USDT,supertrend,2020-02-23 08:00,78.62,2020-02-24 19:59,72.21,trailing,3.093,0.4668316700,-20.2929616700,-0.083451,36.00,tb-supertrend-LTCUSDT-1582430400-B,tb-supertrend-LTCUSDT-1582560000-T
ADA/USDT,supertrend,2020-05-08 04:00,0.0527,2020-05-10 03:59,0.0489,trailing,5672.3,0.576606070000,-22.131346070000,-0.074035,48.00,tb-supertrend-ADAUSDT-1588896000-B,tb-supertrend-ADAUSDT-1589068800-T
LINK/USDT,supertrend,2020-05-09 04:00,3.883,2020-05-10 03:59,3.859,trailing,85.67,0.66360661000,-2.71968661000,-0.008176,24.00,tb-supertrend-LINKUSDT-1588982400-B,tb-supertrend-LINKUSDT-1589068800-T
