run,start_ts,end_ts,days,bars,initial_equity,final_equity,total_return,cagr,sharpe,sortino,calmar,max_drawdown,longest_underwater_days,trades,win_rate,profit_factor,expectancy,avg_trade_hours,exposure,fees_quote,avg_shortfall_bps,volatility_annualized,closes_per_month,active_months,gate,plateau_pass_rate,mc_dd_p95
WF-0023-supertrend-4h-a-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10652.71588820876184548961122,0.065271588820876184548961122,0.01593487569915686,0.6674910829261408,1.0865506107212433,0.5895150277544767,0.027030482598305317,522.6666666666666,137,0.3795620437956204,1.4979954990335298,4.818756385535766423357664234,98.3941603081914,0.23887748117727584,127.695224361600,5.459277021871421,0.02411729470909135,2.8541666666666665,29,no aprobado (1 criterios fallan),1.0,0.04122180006665743
WF-0024-supertrend-4h-a-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10591.05064115731743522588057,0.059105064115731743522588057,0.014461272909652045,0.6057670647762095,0.9787479515934402,0.5196673556951074,0.027827941761530584,522.6666666666666,137,0.3795620437956204,1.4434830741353293,4.394142368800729927007299270,98.3941603081914,0.23887748117727584,127.640925044300,10.444229007126596,0.02418123384828058,2.8541666666666665,29,no aprobado (1 criterios fallan),1.0,0.04375943665405533
WF-0025-supertrend-4h-a-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10470.15152250021950040244823,0.047015152250021950040244823,0.01155339218059237,0.4846093063864922,0.7719482573428486,0.3888567225583881,0.029711180263464754,525.5,137,0.36496350364963503,1.3421368320361402,3.551373870030656934306569343,98.30656906934306,0.23876340406114532,127.532281565800,20.427134477803904,0.024310353064214568,2.8541666666666665,29,no aprobado (2 criterios fallan),0.7142857142857143,0.04909748780067761
WF-0026-supertrend-4h-b-5bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10567.61063695690965701487552,0.056761063695690965701487552,0.013899443575128068,0.26877116693854686,0.42045008473508105,0.1885394091016182,0.07372168843298221,727.1666666666666,187,0.33689839572192515,1.155855817168634,3.407104346555614973262032086,95.44384999108735,0.2488021902806297,347.908608760100,5.45543551044833,0.05748093771401043,3.8958333333333335,29,no aprobado (4 criterios fallan),1.0,0.14080254859041572
WF-0027-supertrend-4h-b-10bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10407.07108727905956301181182,0.040707108727905956301181182,0.010026165193024683,0.20179049909707106,0.31334359831494246,0.1288167910638177,0.07783275076350549,727.5,187,0.3315508021390374,1.116100957094803,2.591531726127272727272727273,95.44384999108735,0.2488021902806297,347.481314315600,10.438953364744988,0.05764082836936702,3.8958333333333335,29,no aprobado (4 criterios fallan),1.0,0.15027362770884278
WF-0028-supertrend-4h-b-20bps-walkforward,1627790399999,1754006399999,1460.8333333333333,8766,10000,10094.12559386335570949512656,0.009412559386335570949512656,0.0023451470987370104,0.06930197324356253,0.10608227575117087,0.027252383695020293,0.08605291650746605,778.5,187,0.3155080213903743,1.0418271280429776,0.9732188969796791443850267380,95.35828849524658,0.2486881131644992,346.651434036200,20.431967535438957,0.05798200223555292,3.8958333333333335,29,no aprobado (5 criterios fallan),0.6428571428571429,0.17182035849149316
WF-0029-supertrend-1h-a-5bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,9392.276966252675375330737137,-0.0607723033747324624669262863,-0.01555257219403039,-0.3268429779387204,-0.5522252699337465,-0.14420315016971075,0.10785181998955484,938.875,552,0.32065217391304346,0.9196812801092574,-0.9411562611731884057971014493,24.110506969102254,0.22891291325555524,1005.153826947600,5.409406453261166,0.044886156312465675,11.5,32,no aprobado (6 criterios fallan),0.35714285714285715,0.20634785702774497
WF-0030-supertrend-1h-a-10bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,8933.188440361862064906204253,-0.1066811559638137935093795747,-0.02780972038536844,-0.6008066176087467,-0.9858182735548597,-0.20908208936949754,0.13300862101211397,1424.5833333333333,555,0.3117117117117117,0.850953525960372,-1.825017039990450450450450450,23.938738461461462,0.22845651367772485,1005.616552714700,10.428643644867076,0.045243089030549445,11.5625,32,no aprobado (6 criterios fallan),0.21428571428571427,0.25223840529164143
WF-0031-supertrend-1h-a-20bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,8084.456883713801541424808094,-0.1915543116286198458575191906,-0.05177357531771121,-1.1178405057720675,-1.7552018174003734,-0.2431400768636754,0.21293723348923588,1424.5833333333333,561,0.2887700534759358,0.7346965714388252,-3.534490987768092691622103387,23.509803643790846,0.2270017400233905,1007.193971057900,20.421237045945706,0.0465857810595711,11.6875,32,no aprobado (6 criterios fallan),0.0,0.3416272778427328
WF-0032-supertrend-1h-b-5bps-walkforward,1627779599999,1754006399999,1460.9583333333333,35057,10000,7355.985493649540426427413961,-0.2644014506350459573572586039,-0.0738970551732665,-0.7200090584142423,-1.1428359978660798,-0.23902247012586716,0.3091636327511508,1360.8333333333333,746,0.3136729222520107,0.8215563656518285,-3.749129221982171581769436997,24.37399436103664,0.23903927888866702,2278.631002978700,5.393049563119467,0.09974519903538037,15.541666666666666,32,no aprobado (8 criterios fallan),0.14285714285714285,0.5480524943805966
