ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1628164799999,2021-08-05 11:59,10004.0744939820000000,10006.7909418220000000,10344.4450576640000000
1628179199999,2021-08-05 15:59,10308.2718261480000000,10513.7953439080000000,10868.5579880960000000
1628193599999,2021-08-05 19:59,10403.6340035130000000,10672.7350800730000000,11032.8610405760000000
1628207999999,2021-08-05 23:59,10472.9175446190000000,10788.2096638990000000,11152.2322378880000000
1628222399999,2021-08-06 03:59,10321.5286570470000000,10535.8904476870000000,10891.3986765440000000
1628236799999,2021-08-06 07:59,10337.0979921270000000,10561.8397923670000000,10918.2236647040000000
1628251199999,2021-08-06 11:59,10265.1814017060000000,10441.9767164260000000,10794.3158885120000000
1628265599999,2021-08-06 15:59,10498.7443239870000000,10831.2550474270000000,11196.7301594240000000
1628279999999,2021-08-06 19:59,10705.7248962270000000,11176.2286884670000000,11553.3447079040000000
1628294399999,2021-08-06 23:59,10620.8033317980000000,11034.6902775580000000,11407.0301768960000000
