pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BNB/USDT,donchian,2023-04-11 04:00,328.06,2023-04-11 23:59,322.10,trailing,3.203,2.0837747200,-21.1736547200,-0.020150,20.00,tb-donchian-BNBUSDT-1681171200-B,tb-donchian-BNBUSDT-1681243200-T
SOL/USDT,donchian,2023-04-11 08:00,22.52,2023-04-19 11:59,23.90,trailing,20.657,0.9593708600,27.5472891400,0.059217,196.00,tb-donchian-SOLUSDT-1681185600-B,tb-donchian-SOLUSDT-1681891200-T
LTC/USDT,donchian,2024-03-26 20:00,95.34,2024-04-01 15:59,100.98,trailing,3.273,0.6429367200,17.8167832800,0.057096,140.00,tb-donchian-LTCUSDT-1711468800-B,tb-donchian-LTCUSDT-1711972800-T
